职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
Android开发工程师（23年应届）,上海卓易科技股份有限公司,8千-1.6万·13薪,上海-徐汇区,本科,在校生/应届生,12-28发布,150-500人,已上市,互联网/电子商务,,岗位描述1.负责Android系统框架及组件的架构设计和开发工作；2.负责系统的技术框架的演进，及产品版本迭代开发工作；3.结合数据指标驱动和分析，不断深化系统技术产品，优化其性能及提升用户体验；4.独立负责Android系统技术难题攻关。岗位要求1.本科或以上学历，2023年毕业，计算机软件或相关专业，基本功扎实，熟练掌握计算机系统结构、算法、操作系统、计算机安全等知识；2.熟悉AndroidFramework，并有较丰富的Android系统源码阅读经验；3.精通Java语言，对JVM有深入更佳；4.熟悉使用makefile等编译脚本或工具；5.有扎实的C/C++语言编程基础，熟悉使用NDK更佳；6.思维敏捷，可以应付各类编程复杂问题，并迅速给出解决方案。,已上市  |  150-500人
Android开发工程师,广东广凌信息科技股份有限公司,3-4千,广州-天河区,本科,在校生/应届生,12-15发布,50-150人,已上市,计算机服务(系统、数据服务、维修),,岗位职责：1.负责公司APP产品相关的UI布局、功能开发、调试测试。2.参与项目的产品设计、分析、开发以及维护。3.按计划完成项目需求的开发任务。4.负责Android客户端和服务平台接口对接。5.完成上级领导安排的其他工作。任职要求：1.熟悉Android应用，熟悉相关开发及测试工具的使用。2.熟练掌握第三方框架，能自定义控件。3.熟练HTTP网络协议，Json解析。4.熟练Android开发的储存方式。5.掌握代码管理工具Git。6.熟练掌握Java、SQL等开发语言。,已上市  |  50-150人
Android System优化工程师,三星电子（中国）研发中心,9千-1.3万·13薪,南京-雨花台区,本科,在校生/应届生,01-26发布,500-1000人,外资（非欧美）,计算机软件,,"工作职责：1.Android系统问题定位和解决2.Android系统性能和功耗优化3.Android系统资源管理（CPU、Memory等）4.Androidframework开发和维护任职要求：1.本科及以上学历，计算机/通信专业优先。2.精通AndroidFramework相关开发（AMS,PMS等模块）3.精通AndroidSystem/Driver相关开发4.了解Android功耗和性能优化相关知识5.熟练掌握Java,C/C++，Python语言6.具备良好的沟通能力7.有Graphic经验，AI等相关经验优先★请应聘人在应聘全过程中注意不要泄漏目前在职公司的商业秘密。★请确认您投递的简历不包括目前在职公司的商业秘密。",外资（非欧美）  |  500-1000人
Android软件工程师（23届校招）,三星（中国）半导体有限公司,17-34万/年,西安-雁塔区,硕士,在校生/应届生,01-22发布,5000-10000人,外资（非欧美）,计算机软件,,"如下岗位是三星（中国）半导体有限公司下属西安三星电子研究所发布岗位职责：-负责三星车载芯片的Android系统定制化开发。岗位要求：1.熟悉C/C++或RUST编程语言；2.对操作系统，计算机系统架构，数据结构有良好的理解；3.以下为加分项：-具备Android驱动,HAL,Framework开发经验者优先(任意一项)；-具备AndroidCTS/VTS/ATS经验。基本要求-毕业时间：2022.7.1-2023.12.31（往届生参加工作不满1年也可应聘校招岗位）-学历：国家统招或教育部认证的海外学历，硕士/博士-专业：计算机电子信息类相关专业-对探索与开发IT行业***技术具有浓厚的兴趣，以创新精神塑造美好未来感谢您对三星（中国）半导体有限公司下属西安三星电子研究所的关注！三星（中国）半导体有限公司高度重视用户的个人信息，并严格遵守《中华人民共和国网络安全法》及个人信息保护的有关法律规定进行收集、使用、安全管理。请您在投递简历前认真认真阅读以下内容，确认后完成简历投递。若您已经成功投递简历则表示您已经同意并承诺以下申明。《个人信息收集使用申明》在本次招聘活动中，我们承诺以下事项：1.我们收到的个人信息仅用于本次您所投递三星（中国）半导体有限公司下属西安三星电子研究所的招聘岗位及可能录取后的招聘活动管理中，并保证未经本人同意不向第三方披露；如果您没有被录取，我们将在招聘结束后销毁文本和电子信息；个人信息及包括但不限于以下信息：个人姓名、生日、性别、民族、国籍等基本信息，个人电话号码、邮箱地址等个人敏感信息，以及个人职业及教育经历信息等；2.我们不会在招聘中询问您现在或以前工作单位的任何商业秘密，并保证不会因此影响招聘结果；3.在招聘中如果有任何您认为不适当的行为或询问，您都有权拒绝；我们保证不会因此影响招聘结果。4.如需撤回简历，请联系srcxianhr@samsung.com。同时也请您阅读以下事项，并保证以下内容真实性；如果内容虚假，本人愿意接受因此为三星（中国）半导体有限公司下属西安三星电子研究所带来的任何不良后果，并承担由此给公司造成的任何损失。1.我在自愿的情况下同意投递三星（中国）半导体有限公司下属西安三星电子研究所招聘岗位收集以上信息，并允许公司在招聘和可能录取后的招聘活动管理中使用；2.我保证在本次招聘中提供的个人信息真实，并认可公司对虚假个人信息的处理行为；3.我允许招聘公司对我提供的个人信息在法律许可的范围内进行背景调查；4.我在此次招聘或将来入职后，将对现公司、前公司的商业秘密进行保密；5.若本人还存在与原公司在有效期内的竞业限制协议，将在招聘过程中如实告知公司。",外资（非欧美）  |  5000-10000人
前端开发工程师（iOS/Android）,深圳市莫尼迪科技有限责任公司,1-2万,深圳-宝安区,本科,在校生/应届生,01-18发布,50-150人,民营,电子技术/半导体/集成电路,,岗位描述：1、负责iOS客户端的设计、开发、测试、升级、发布和维护；2、负责Android客户端的设计、开发、测试、升级、发布和维护。任职要求：1、计算机相关专业本科及以上学历，3年以上相关开发经验，接受优秀应届毕业生；2、熟悉iOSSDK相关技术开发及应用；3、熟悉Android/Linux底层框。,民营  |  50-150人
Android应用软件开发工程师,上海甲金通信科技有限公司,10-20万/年,上海-闵行区,本科,在校生/应届生,01-17发布,50-150人,民营,通信/电信/网络设备,,职位描述：1、负责完成客户androidROM定制；2、android应用程序的开发；2、解决android应用层的bug；职位要求：1、计算机或相关专业本科以上学历；2、熟悉C/C++或者JAVA语言编程；3、具备良好的沟通能力和优秀的团队协作能力；4、欢迎优秀的应届生加盟；5、有android应用开发经验者优先；,民营  |  50-150人
Android/iOS开发工程师,上海萌果信息科技有限公司,8千-1.5万,上海-徐汇区,本科,在校生/应届生,01-17发布,50-150人,民营,网络游戏,,职位描述：1、负责安卓IOS任务开发2、unityDemo开发任职要求：1、熟练掌握Java语言开发2、有OC、swift开发经验更优3、有工作经验者优先,民营  |  50-150人
Android开发工程师(SMB),浙江宇视科技有限公司,1-1.5万,杭州-滨江区,本科,在校生/应届生,01-15发布,1000-5000人,民营,计算机软件,,岗位职责:1、根据业务需求，负责AndroidAPP的开发与维护；2、负责参与产品的需求讨论、设计与开发；3、对软件性能及稳定性调优；4、对软件开发过程中出现的Bug进行定位分析和修改；任职资格:1、至少精通一门语言，如C/C++/Java；2、熟练掌握Android常用UI组件的使用，熟悉常用的分析工具，熟悉多线程开发；3、熟悉AndroidSDK，AndroidNDK开发；4、熟悉Linux命令；5、学习能力强，有自驱能力，有强烈的责任心和团队精神；6、以下为加分项：有音视频、网络、安防产品工作经验；,民营  |  1000-5000人
Android开发工程师（2023届）(J10562),中储南京智慧物流科技有限公司,7千-1.2万,南京-鼓楼区,本科,在校生/应届生,01-14发布,1000-5000人,国企,互联网/电子商务,,工作职责:1、负责智运各产品的移动客户端设计与开发；2、负责基础模块和组件的研发和维护；3、负责移动客户端的技术栈搭建，推动技术创新，通过技术提升用户体验，优化产品功能。任职资格:1、2023届统招本科及以上学历，计算机等相关专业；2、有扎实的计算机基础知识，掌握算法和数据结构，熟悉计算机网络知识；3、掌握一种及以上的编程语言，了解HTTP/HTTPS/HTTP2、TCP/IP协议；4、具备良好的责任心、较强的学习能力以及问题分析能力、良好的团队沟通与协作能力。加分项：1、有客户端相关实际项目经验或互联网公司实习经验者优先；2、有开源项目，或者参与过项目实践者优先。,国企  |  1000-5000人
Android开发工程师（实习/应届）,广州市鑫澳康科技有限公司,2.5-3.5千,广州-黄埔区,大专,在校生/应届生,01-13发布,150-500人,民营,电子技术/半导体/集成电路,,工作职责：1.根据任务安排，学习和熟悉公司项目与工具；2.根据产品设计，参与需求分析、开发、调试工作；3.负责触屏交互产品（Android平台）应用软件开发及维护；4.与项目相关产品、测试、前后端等人员沟通和合作；5、负责完成领导分配的其他工作。岗位要求：1、计算机相关专业；2、对Android系统架构有基本的理解，了解Java程序设计、JSON/XML解析、常用设计模式、基本的数据结构与算法、HTTP协议等；3、了解AndroidSDK各种组件，包括网络通讯、数据存储、UI布局、动画与控件等的使用，熟悉图形编程、多线程编程、网络编程、Service等；4、善于沟通与团队协作、责任心强、热爱学习，具有较强的执行能力和抗压能力，能保证项目的进度和质量；,民营  |  150-500人
android驱动工程师（应届生）,深圳市阿龙电子有限公司,8千-1万,深圳-宝安区,本科,在校生/应届生,01-12发布,500-1000人,民营,电子技术/半导体/集成电路,,"职位描述1）精通C语言、C++2）本科电子或计算机等相关专业3）熟悉linux环境的应用编程,对嵌入式系统的硬件原理有一定了解，具有良好的英文文档阅读能力5）主要负责内核驱动调试和设备驱动开发6）能吃苦耐劳7）有MTK\Allwinner\Rockchip平台开发经验者优先员工一经录用，享有以下待遇：1、上班时间：5.5天制（周六4小时)：2、带薪假期：享受国家法定节假日、超长带薪春节假、婚假、产假、丧假、病假等法定带薪假期；3、带薪培训：新人岗前培训、职业技能培训等；4、入职即享受购买五险（养老、医疗、工伤、生育、失业）、住房公积金；5、团队活动：年度旅游、趣味活动、生日会、下午茶、年会等；6、提供住宿：四人间，空调、热水器、衣柜、书桌、配置齐全。",民营  |  500-1000人
Android开发工程师(J11141),广州中海达卫星导航技术股份有限公司,1-1.5万,广州-番禺区,本科,在校生/应届生,01-12发布,1000-5000人,已上市,电子技术/半导体/集成电路,,"工作职责:1、根据公司要求完成基于Android系统平台的应用程序开发设计、调试工作；2、根据项目任务计划按时完成软件高质量编码和自测工作；3、对安卓开发有系统化的知识体系，良好的学习能力；4、按时按需完成软件的维护及更新。任职资格:1、本科及以上学历，地理信息或测绘相关专业；2、具备扎实的Java语言基础,能熟练使用AndroidSDK；3、熟练掌握AndroidUI开发，包括各种控件、布局方式、动画和自定义控件的使用方法；4、有良好的编程习惯，对安卓开发有系统化的知识体系，良好的学习能力。5、熟悉C/C++语言，熟悉NDK开发者优先。",已上市  |  1000-5000人
Android系统开发工程师-2023届(J12663),浙江零跑科技股份有限公司,1.5-2万·14薪,杭州-滨江区,硕士,在校生/应届生,01-13发布,5000-10000人,民营,汽车,,工作职责:1、对安卓ROM进行定制开发；2、熟悉安卓常用的编译指令，熟悉Linux常用指令；3、有Android/Linux平台下开发经验；4、对安卓系统框架有一定的理解和经验。任职资格:1、硕士及以上学历，软件开发、计算机、电子信息等相关专业；2、对软件开发兴趣浓厚，有较强的创新和探索精神，抗压能力强；3、在校课题或是实习期间有相关方向项目开发经验优先。,民营  |  5000-10000人
Android开发工程师,广州市森锐科技股份有限公司,3.5-5千,广州-黄埔区,大专,在校生/应届生,01-11发布,150-500人,已上市,多元化业务集团公司,,,已上市  |  150-500人
Android应用开发工程师—应届毕业生,锦图计算技术（深圳）有限公司,7千-1.1万,深圳-南山区,本科,在校生/应届生,01-10发布,50-150人,民营,电子技术/半导体/集成电路,,Android应用开发工程师（应届毕业生）岗位职责：1、负责Android系统产品需求评审、设计评审、方案设计，设计文档输出；2、负责android车机应用、framework层开发；3、按软件需求完成界面、框架搭建、业务逻辑功能等设计；4、按照项目计划，在保证质量的前提下，按时完成开发任务；5、配合其他开发人员、测试人员，完成产品设计和发布；职位要求：1、相关本科及以上学历，计算机、软件、电子、音视频多媒体及相关专业;2、对Android应用开发感兴趣，有Java编程知识，对程序设计和良好的编码有定的认知；3、对Android应用开发框架(如：MVP)、感兴趣，有自定义控件的知识;4、对多线程、Service、aidl、JNI编程开发有一定的知识掌握;5、有Framework底层开发的认知，能够在framework层进行源码修改以及增加功能的基础上进行探索或感兴趣；6、能够承受较强的工作压力，有一定的逻辑思维分析、表达、沟通能力；,民营  |  50-150人
Android系统工程师(J10998),广州中海达卫星导航技术股份有限公司,9千-1.1万·13薪,广州-番禺区,本科,在校生/应届生,01-11发布,1000-5000人,已上市,电子技术/半导体/集成电路,,"工作职责:1、根据产品功能需求，对Android系统应用（Framework、Launcher、Setting、SystemUI等）进行软件定制设计，开发，移植及调试优化；2、根据项目计划完成文档撰写、编码、调试、自测等工作；3、负责项目软件版本管理及发布工作，解决软件在开发、调试、测试中发现的BUG。任职资格:1、大专以上学历，计算机/通信/电子等相关专业，5年以上Android系统开发经验,有MTK平台开发经验的优先2、熟练掌握Java语言，熟悉C、C++、Kotlin语言,熟悉基于Git的软件开发及管理流程；3、熟练掌握Android基本类库、UI界面绘制、后台运行、数据存储、网络通信机制等，熟悉JSON、HTTP、TCP/IP协议；4、熟悉Android系统框架，有Framework、Launcher、Setting等开发定制经验，且能独立开发小型Android应用；5、熟悉JNI/NDK开发，熟悉android系统Service、Binder、callback等机制。",已上市  |  1000-5000人
Android开发工程师（应届）,上海零与壹软件有限公司,8千-1.2万,上海-闵行区,本科,在校生/应届生,01-09发布,少于50人,民营,计算机软件,,,民营  |  少于50人
Android研发工程师,北京融安特智能科技股份有限公司,5-9千,黄石,大专,在校生/应届生,12-12发布,150-500人,已上市,互联网/电子商务,,,已上市  |  150-500人
android开发工程师,万达宝软件（深圳）有限公司,9千-1.3万,深圳-南山区,本科,在校生/应届生,12-09发布,150-500人,外资（非欧美）,计算机软件,,,外资（非欧美）  |  150-500人
Android初级开发工程师,深圳市金泰谊电子有限公司,6千-1.2万,深圳-南山区,本科,在校生/应届生,01-05发布,150-500人,创业公司,通信/电信/网络设备,,,创业公司  |  150-500人
Android研发工程师 - 抖音（成都）,字节跳动,2.5-5万,成都,本科,在校生/应届生,01-04发布,10000人以上,民营,互联网/电子商务,,"职位描述：1、负责公司移动产品的抖音短视频研发,编写高质量的代码；2、和产品经理配合,深度参与手机产品需求讨论,功能定义等；3、设计良好的代码结构,不断迭代重构。职位要求：1、智能手机爱好者和使用者,追求良好的用户体验；2、热爱移动产品研发,愿意在移动开发领域深入钻研,并成为专家；3、有良好的编程习惯,代码结构清晰,命名规范；4、熟练掌握JAVA,熟悉AndroidSDK,熟悉Android的UI/网络/数据库框架；5、具备Android开发经验,能独立开发AndroidApp；6、对软件产品有强烈的责任心,具备良好的沟通能力和优秀的团队协作能力。",民营  |  10000人以上
