职位名称,薪酬,城市地区,工作经验要求,学历要求,关键词,公司名称,规模类型,公司标签
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
宏观经济助理研究员,8千-1.5万,北京·通州区,2年,硕士,"数据分析
证券
外汇
宏观经济
五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
财务处干事,5.5-7.5万/年,海口·美兰区,无需经验,本科,"周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
经济学/商科老师,1-1.5万,成都·青羊区,3-4年,本科,"五险一金
绩效奖金
餐饮补贴
定期体检",狄邦教育集团,民营  |  1000-5000人,教育/培训/院校
中学经济学老师,9千-1.2万,成都·新津县,3-4年,本科,"私立学校
五险一金
免费班车
带薪假期
交通补贴",成都新津墨文学校,民营  |  150-500人,教育/培训/院校
产业经济学博士,2-4万,深圳·福田区,1年,博士,"五险一金
绩效奖金
全勤奖
员工旅游
节日福利",深圳中商产业研究院有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会)
数字经济学院专职教师,8.5-15万/年,成都,无需经验,硕士,"大学教师
数字经济
经济学
金融
国际贸易
高校教师
五险一金
定期体检
节日慰问
教工餐厅
免费校车
酒店式公寓
工会活动
健身俱乐部",四川大学锦江学院,非营利组织  |  1000-5000人,教育/培训/院校
产业经济研究,8千-1.3万,广州,1年,硕士,"五险一金
专业培训
年终奖金
员工旅游",广东铭太信息科技有限公司,民营  |  150-500人,计算机软件
会计（武汉经济技术开发区）,4-6千,武汉·武汉经济开发区,1年,大专,"会计
财务
周末双休
带薪年假
交通补贴
餐饮补贴
节日福利
五险一金
通讯补贴",大信沃思财务顾问（武汉）股份有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会)
金融/经济研究员（股权分红+双休）,8千-1.2万,广州·天河区,1年,大专,"金融
高薪
双休
晋升
员工旅游
五险一金
弹性工作
数据分析
出国学习
五险一金
专业培训
绩效奖金
弹性工作
周末双休
节日福利
生日礼品
地铁周边
出国机会
股票期权",广东致远蓝图项目管理有限公司,民营  |  50-150人,金融/投资/证券
国企金牌保险经济人,1-1.5万,杭州·江干区,1年,大专,"员工旅游
专业培训
绩效奖金
年终奖金
弹性工作
通讯补贴
周末双休",中国人寿保险股份有限公司杭州市分公司,国企  |  10000人以上,保险
总部经济中级顾问(J13069),8千-1.2万,杭州,2年,本科,"五险一金
年终奖金
专业培训
周末双休
通讯补贴
定期体检
绩效奖金",谷川联行有限公司,民营  |  500-1000人,多元化业务集团公司
产业经济研究,8千-1.3万,广州,1年,硕士,"五险一金
专业培训
年终奖金
员工旅游",广东铭太信息科技有限公司,民营  |  150-500人,计算机软件
